10000 100000
9384 887 21002456
2778 6916 515900221
7794 8336 266237934
5387 493 41491325
6650 1422 743794158
2363 28 913970869
8691 60 448883918
7764 3927 277443774
541 3427 135194634
9173 5737 681876979
5212 5369 302000907
2568 6430 893048099
5783 1531 511492508
2863 5124 94290559
4068 3136 333893069
3930 9803 525689354
4023 3059 383905721
3070 8168 519448343
1394 8457 424669873
5012 8043 995269090
6230 7374 360731516
4422 4920 280030384
3785 8538 61976390
5199 4325 789648665
8316 4371 635488256
6414 3527 674138230
6092 8981 55383874
9957 1874 729925266
6863 9171 765778087
6997 7282 732553718
2306 926 681847955
7085 6328 786780543
337 6506 100970291
847 1730 948085889
1314 5858 680788219
6125 3896 844764448
9583 546 714573109
8815 3368 129672136
5435 365 122208221
4044 3751 702284095
1088 6809 664065466
7277 7179 276725479
5789 3585 447848545
5404 2652 28074325
2755 2400 223532389
9933 5061 781741614
9677 3369 553763678
7740 13 607438110
6227 8587 153706308
8095 7540 978433551
796 571 455223551
1435 379 514437824
7468 6602 110980286
98 2903 517199940
3318 493 304086488
6653 757 598984893
7302 281 43854521
4287 9442 211986713
3866 9690 181426511
8445 6620 809632608
8441 4730 797056783
8032 8118 863274465
8098 5772 448929502
4482 676 898027073
710 8928 663876705
4568 7857 129717720
9498 2354 595307872
4587 6966 230966166
5307 4684 111906208
6220 8625 570032444
1529 2872 933250260
5733 8830 628488025
9504 20 699274274
8271 3369 233615156
9709 6716 656562350
6341 8150 922806663
7797 724 15356769
2619 2246 62842379
2847 3452 382761124
2922 3556 169063077
2380 7489 893792281
7765 8229 837984674
9842 2351 683500900
5194 1501 4772566
7035 7765 207700965
125 4915 840103739
6988 5857 456273811
3744 6492 251555485
2228 8366 52090452
9860 1937 637700321
1433 2552 61188092
6438 9229 701663586
3276 5408 500974785
1475 6122 362633945
8859 4396 452207010
6030 1238 17367842
8236 3794 492351665
5819 4429 47514881
6144 1012 248334007
5929 9530 456774224
8777 2405 470063676
4444 5764 34100618
4614 4539 85262248
8607 6841 21854301
2905 4819 267715773
5129 689 594340949
7370 7918 944660963
9918 6997 283072542
3325 7744 657183328
9471 2184 179938438
8491 5500 304651970
9773 6726 403491960
5645 5591 870439463
7506 8140 988152869
2955 9787 260780878
7670 8083 78140427
8543 8465 680772959
198 9508 717054688
9356 8805 182212264
6349 8612 585379762
3623 7829 354755008
9300 7344 95916707
5747 5569 287043347
4341 5423 708246144
3312 3811 458550652
7606 1802 739250356
5662 3731 725613985
4879 1306 803418668
9321 8737 639281588
9445 8627 973947991
8523 3466 260192891
6709 3417 961861615
8283 3259 8048608
2925 7638 197971490
2063 5625 983715916
2601 2037 275764381
3453 1900 792312439
9380 5551 780893230
7469 72 411353274
974 7132 302012118
3882 4931 960831668
8934 5895 716005243
8661 164 705504077
7200 7982 683787482
8900 2997 556674463
2960 3774 966284954
